HD01_VD104,"Estimate; Male: - Other services, except public administration: - Private households"
HD02_VD104,"Margin of Error; Male: - Other services, except public administration: - Private households"
HD01_VD105,Estimate; Male: - Public administration
HD02_VD105,Margin of Error; Male: - Public administration
HD01_VD106,Estimate; Female:
HD02_VD106,Margin of Error; Female:
HD01_VD107,"Estimate; Female: - Agriculture, forestry, fishing and hunting, and mining:"
HD02_VD107,"Margin of Error; Female: - Agriculture, forestry, fishing and hunting, and mining:"
HD01_VD108,"Estimate; Female: - Agriculture, forestry, fishing and hunting, and mining: - Agriculture, forestry, fishing and hunting"
HD02_VD108,"Margin of Error; Female: - Agriculture, forestry, fishing and hunting, and mining: - Agriculture, forestry, fishing and hunting"
HD01_VD109,"Estimate; Female: - Agriculture, forestry, fishing and hunting, and mining: - Mining, quarrying, and oil and gas extraction"
HD02_VD109,"Margin of Error; Female: - Agriculture, forestry, fishing and hunting, and mining: - Mining, quarrying, and oil and gas extraction"
HD01_VD110,Estimate; Female: - Construction
HD02_VD110,Margin of Error; Female: - Construction
HD01_VD111,Estimate; Female: - Manufacturing:
HD02_VD111,Margin of Error; Female: - Manufacturing:
HD01_VD112,Estimate; Female: - Manufacturing: - Food
HD02_VD112,Margin of Error; Female: - Manufacturing: - Food
HD01_VD113,Estimate; Female: - Manufacturing: - Beverage and tobacco products
HD02_VD113,Margin of Error; Female: - Manufacturing: - Beverage and tobacco products
HD01_VD114,Estimate; Female: - Manufacturing: - Textile mills and textile products
HD02_VD114,Margin of Error; Female: - Manufacturing: - Textile mills and textile products
HD01_VD115,Estimate; Female: - Manufacturing: - Apparel
HD02_VD115,Margin of Error; Female: - Manufacturing: - Apparel
HD01_VD116,Estimate; Female: - Manufacturing: - Leather and allied products
HD02_VD116,Margin of Error; Female: - Manufacturing: - Leather and allied products
HD01_VD117,Estimate; Female: - Manufacturing: - Wood products
HD02_VD117,Margin of Error; Female: - Manufacturing: - Wood products
HD01_VD118,Estimate; Female: - Manufacturing: - Paper
HD02_VD118,Margin of Error; Female: - Manufacturing: - Paper
HD01_VD119,Estimate; Female: - Manufacturing: - Printing and related support activities
HD02_VD119,Margin of Error; Female: - Manufacturing: - Printing and related support activities
HD01_VD120,Estimate; Female: - Manufacturing: - Petroleum and coal products
HD02_VD120,Margin of Error; Female: - Manufacturing: - Petroleum and coal products
HD01_VD121,Estimate; Female: - Manufacturing: - Chemicals
HD02_VD121,Margin of Error; Female: - Manufacturing: - Chemicals
HD01_VD122,Estimate; Female: - Manufacturing: - Plastics and rubber products
HD02_VD122,Margin of Error; Female: - Manufacturing: - Plastics and rubber products
HD01_VD123,Estimate; Female: - Manufacturing: - Nonmetallic mineral products
HD02_VD123,Margin of Error; Female: - Manufacturing: - Nonmetallic mineral products
HD01_VD124,Estimate; Female: - Manufacturing: - Metal and metal products
HD02_VD124,Margin of Error; Female: - Manufacturing: - Metal and metal products
HD01_VD125,Estimate; Female: - Manufacturing: - Machinery
HD02_VD125,Margin of Error; Female: - Manufacturing: - Machinery
HD01_VD126,Estimate; Female: - Manufacturing: - Computer and electronic products
HD02_VD126,Margin of Error; Female: - Manufacturing: - Computer and electronic products
HD01_VD127,"Estimate; Female: - Manufacturing: - Electrical equipment, appliances, and components"
HD02_VD127,"Margin of Error; Female: - Manufacturing: - Electrical equipment, appliances, and components"
HD01_VD128,Estimate; Female: - Manufacturing: - Transportation equipment
HD02_VD128,Margin of Error; Female: - Manufacturing: - Transportation equipment
HD01_VD129,Estimate; Female: - Manufacturing: - Furniture and related product manufacturing
HD02_VD129,Margin of Error; Female: - Manufacturing: - Furniture and related product manufacturing
HD01_VD130,Estimate; Female: - Manufacturing: - Miscellaneous manufacturing
HD02_VD130,Margin of Error; Female: - Manufacturing: - Miscellaneous manufacturing
HD01_VD131,Estimate; Female: - Wholesale trade:
HD02_VD131,Margin of Error; Female: - Wholesale trade:
HD01_VD132,Estimate; Female: - Wholesale trade: - Motor vehicle and motor vehicle parts and supplies merchant wholesalers
HD02_VD132,Margin of Error; Female: - Wholesale trade: - Motor vehicle and motor vehicle parts and supplies merchant wholesalers
HD01_VD133,Estimate; Female: - Wholesale trade: - Furniture and home furnishing merchant wholesalers
HD02_VD133,Margin of Error; Female: - Wholesale trade: - Furniture and home furnishing merchant wholesalers
HD01_VD134,Estimate; Female: - Wholesale trade: - Lumber and other construction materials merchant wholesalers
HD02_VD134,Margin of Error; Female: - Wholesale trade: - Lumber and other construction materials merchant wholesalers
HD01_VD135,Estimate; Female: - Wholesale trade: - Professional and commercial equipment and supplies merchant wholesalers
HD02_VD135,Margin of Error; Female: - Wholesale trade: - Professional and commercial equipment and supplies merchant wholesalers
HD01_VD136,"Estimate; Female: - Wholesale trade: - Metals and minerals, except petroleum, merchant wholesalers"
HD02_VD136,"Margin of Error; Female: - Wholesale trade: - Metals and minerals, except petroleum, merchant wholesalers"
HD01_VD137,Estimate; Female: - Wholesale trade: - Household appliances and electrical and electronic goods merchant wholesalers
HD02_VD137,Margin of Error; Female: - Wholesale trade: - Household appliances and electrical and electronic goods merchant wholesalers
HD01_VD138,"Estimate; Female: - Wholesale trade: - Hardware, and plumbing and heating equipment, and supplies merchant wholesalers"
HD02_VD138,"Margin of Error; Female: - Wholesale trade: - Hardware, and plumbing and heating equipment, and supplies merchant wholesalers"
HD01_VD139,"Estimate; Female: - Wholesale trade: - Machinery, equipment, and supplies merchant wholesalers"
HD02_VD139,"Margin of Error; Female: - Wholesale trade: - Machinery, equipment, and supplies merchant wholesalers"
HD01_VD140,Estimate; Female: - Wholesale trade: - Recyclable material merchant wholesalers
HD02_VD140,Margin of Error; Female: - Wholesale trade: - Recyclable material merchant wholesalers
HD01_VD141,Estimate; Female: - Wholesale trade: - Miscellaneous durable goods merchant wholesalers
HD02_VD141,Margin of Error; Female: - Wholesale trade: - Miscellaneous durable goods merchant wholesalers
HD01_VD142,Estimate; Female: - Wholesale trade: - Paper and paper products merchant wholesalers
HD02_VD142,Margin of Error; Female: - Wholesale trade: - Paper and paper products merchant wholesalers
HD01_VD143,"Estimate; Female: - Wholesale trade: - Drugs, sundries, and chemical and allied products merchant wholesalers"
HD02_VD143,"Margin of Error; Female: - Wholesale trade: - Drugs, sundries, and chemical and allied products merchant wholesalers"
HD01_VD144,"Estimate; Female: - Wholesale trade: - Apparel, piece goods, and notions merchant wholesalers"
HD02_VD144,"Margin of Error; Female: - Wholesale trade: - Apparel, piece goods, and notions merchant wholesalers"
HD01_VD145,Estimate; Female: - Wholesale trade: - Grocery and related product merchant wholesalers
HD02_VD145,Margin of Error; Female: - Wholesale trade: - Grocery and related product merchant wholesalers
HD01_VD146,Estimate; Female: - Wholesale trade: - Farm product raw material merchant wholesalers
HD02_VD146,Margin of Error; Female: - Wholesale trade: - Farm product raw material merchant wholesalers
HD01_VD147,Estimate; Female: - Wholesale trade: - Petroleum and petroleum products merchant wholesalers
HD02_VD147,Margin of Error; Female: - Wholesale trade: - Petroleum and petroleum products merchant wholesalers
HD01_VD148,Estimate; Female: - Wholesale trade: - Alcoholic beverages merchant wholesalers
